Customer Name,Customer #,Invoice #,Invoice Amount,Due Date,Predicted Payment Date
WAL-MAR associates,200769623,1930744553,78130.85,2020-04-19,2020-04-20
WAL-MAR foundation,200769623,1930676480,15015.66,2020-04-06,2020-04-07
WAL-MAR,200769623,1930726623,17799.97,2020-04-16,2020-04-17
DECA associates,200353024,1930876902,9141.76,2020-05-11,2020-06-08
H E BUT systems,200761734,1930593055,15400.32,2020-03-19,2020-03-20
SO trust,140104440,2960620921,76142.94,2020-03-24,2020-03-26
BJ'S,200726979,1930708824,17033.43,2020-04-12,2020-04-13
SAFEW corp,200772595,1930693595,37904.35,2020-04-10,2020-04-11
AL,200739006,1930781353,68015.43,2020-04-23,2020-04-24
DOLLA foundation,200148860,1930643312,6296.19,2020-05-17,2020-05-18
PUBLI associates,200707822,1930714047,79152.94,2020-04-12,2020-04-13
MASTER systems,100021540,1930728996,42886.08,2020-04-12,2020-04-13
GORDO,200782001,1930804617,45970.46,2020-05-06,2020-05-07
SA systems,200759878,1930850083,12782.05,2020-05-17,2020-05-18
DECA llc,200592182,1930876735,16875.59,2020-05-24,2020-06-21
WAL-MAR trust,200769623,1930604110,36550.61,2020-03-20,2020-03-21
TARG trust,200744019,1930855348,26359.36,2020-05-20,2020-05-21
BRENH corp,200758531,1930723551,37381.28,2020-04-15,2020-04-16
WAL-MAR us,200769623,1930581667,4644.04,2020-03-14,2020-03-15
JET systems,200152991,1930769308,5907.13,2020-04-25,2020-04-26
TARG co,200744019,1930880101,2816,2020-05-24,2020-05-25
KROGER foundation,200748108,1930585229,16592.16,2020-03-16,2020-03-17
TARG llc,200744019,1930653306,3809.15,2020-03-30,2020-03-31
WAL-MAR,200769623,1930669305,17972,2020-04-03,2020-04-04
TARG associates,200744019,1930577922,65579.56,2020-03-14,2020-03-15
WAL-MAR in,200769623,1930618982,10518.41,2020-03-22,2020-03-23
WAL-MAR in,200769623,1930714625,8246.79,2020-04-13,2020-04-14
C&S WH corporation,200762301,1930661120,8982.86,2020-05-21,2020-05-22
GILSTE us,200724999,1930710484,44341.2,2020-04-06,2020-04-07
WINC,200706844,1930819754,9793.73,2020-05-10,2020-05-11
ASSOCIAT co,200772670,1930745076,1390.44,2020-04-18,2020-03-23
PERFOR corp,200722444,1930782445,12469.63,2020-05-16,2020-05-17
WAL-MAR systems,200769623,1930775843,11843.33,2020-04-27,2020-04-28
EWT-EU,100031686,1991840185,4730.54,2020-05-04,2020-05-06
H E BUT us,200761734,1930654795,18883.74,2020-04-01,2020-04-02
WAL-MAR co,200769623,1930885226,61837.87,2020-05-26,2020-05-27
LOB foundation,140104409,2960629512,77692.62,2020-05-07,2020-05-09
COSTCO trust,140104429,2960627971,132344.31,2020-05-08,2020-05-10
BJ'S  associates,200726979,1930778574,1044.16,2020-05-01,2020-05-02
HY -  co,200795490,1930581495,1930.34,2020-03-14,2020-03-15
WAL-MAR foundation,200769623,1930727213,7562.5,2020-04-16,2020-04-17
A & W F corp,140104229,2960633169,6150.6,2020-05-23,2020-05-25
WINC associates,200706844,1930716121,37037.03,2020-04-12,2020-04-13
COSTCO,140104429,2960618902,1100.69,2020-03-16,2020-03-18
WAL-MAR systems,200769623,1930669979,47065.41,2020-04-03,2020-04-04
C&S WH foundation,200762301,1930684638,2518.11,2020-04-06,2020-04-07
KROG trust,200749782,1930782230,79358.65,2020-04-29,2020-04-30
AM corporation,200418007,1930772142,6220.8,2020-04-25,2020-04-26
SYSTEMS co,200719300,1930683830,10594.8,2020-04-29,2020-04-30
WAL-MAR foundation,200769623,1930621871,33693.34,2020-03-23,2020-03-24
WAL-MAR corp,200769623,1930709731,913.25,2020-04-11,2020-04-12
ASSOCIAT llc,200772670,1930855958,1180.33,2020-05-19,2020-04-23
MDV/ associates,200792734,1930764500,60910.97,2020-04-23,2020-04-24
PUBLI corporation,200707822,1930826121,12392.28,2020-05-11,2020-05-12
WAL-MAR corporation,200769623,1930733910,63997.14,2020-04-19,2020-04-20
MCL llc,200799367,1930678570,53182.41,2020-04-11,2020-04-12
AMERIC llc,100043948,1930730537,19423.95,2020-04-21,2020-04-22
WINC corporation,200706844,1930687580,674.05,2020-04-09,2020-04-10
DEC llc,100014724,1930754541,6154.92,2020-04-24,2020-05-22
AN,200366118,1930753277,12758.63,2020-04-25,2020-04-26
KRAFT  us,CCCA02,1930611447,14537.4,2020-04-10,2020-04-11
TARG associates,200744019,1930823967,5069.34,2020-05-10,2020-05-11
DEC corporation,200416837,1930675685,951.68,2020-04-08,2020-05-06
WAL-MAR llc,200769623,1930837707,25976.86,2020-05-13,2020-05-14
BJ'S  corp,200726979,1930653245,261.34,2020-03-31,2020-04-01
WAL-MAR llc,200769623,1930653677,3270.04,2020-03-30,2020-03-31
SMITHFIE associates,100000222,1930719286,27212.68,2020-04-17,2020-04-18
METRO  in,140104423,2960623003,66007.45,2020-03-31,2020-04-02
SYSC foundation,200186937,1930641925,44090.84,2020-03-26,2020-03-27
KROGE associates,200519201,1930654852,77453.25,2020-05-21,2020-05-22
WAL-MAR trust,200769623,1930725366,15496.46,2020-04-16,2020-04-17
FOODL,200508557,1930692338,3370.38,2020-04-15,2020-04-16
KRFT FDS associates,CCU002,1930645938,1141.21,2020-04-20,2020-04-21
WAL-MAR llc,200769623,1930703697,49797.62,2020-04-12,2020-04-13
MEIJ corporation,200780383,1930606057,15169.43,2020-03-20,2020-03-21
H T H trust,200078795,1930788659,783.75,2020-04-30,2020-05-01
DEC,200020431,1930860038,12679.94,2020-05-24,2020-06-21
SUPE in,200936373,1930567718,87234.68,2020-03-13,2020-03-14
KRAFT F corp,CCU013,1930678711,2946.21,2020-03-24,2020-03-22
KRAFT F,CCU013,1930682104,15226.2,2020-03-22,2020-03-20
WAL-MAR llc,200769623,1930714762,66933.07,2020-04-12,2020-04-13
WAL-MAR us,200769623,1930653451,25644.12,2020-03-31,2020-04-01
UNITE trust,200696090,1930767495,3138.99,2020-05-01,2020-05-02
KRAFT F us,CCU013,1930675649,22107.81,2020-03-20,2020-03-18
COST co,200794332,1930673355,3088.55,2020-04-04,2020-04-05
KROG in,200749782,1930682347,45078.79,2020-04-07,2020-04-08
RA,200704045,1930655345,20045.38,2020-03-31,2020-04-01
SOB in,140104249,2960627818,98992.92,2020-04-29,2020-05-01
C&S WH llc,200762301,1930778547,2997.32,2020-06-18,2020-06-19
BJ'S  foundation,200726979,1930599793,414.71,2020-03-20,2020-03-21
J  in,200895669,1930837352,11208.23,2020-05-15,2020-05-16
UNITE corporation,200696090,1930637638,4916.54,2020-04-02,2020-04-03
SMITH'S co,200820380,1930715672,61512.95,2020-04-15,2020-04-16
SO,140104440,2960620375,120505.88,2020-03-23,2020-04-02
COST foundation,200794332,1930730607,56877.95,2020-04-17,2020-04-18
CASEY corp,200900212,1930772240,358.49,2020-06-13,2020-06-14
KING S in,200707005,1930559988,55159.01,2020-03-13,2020-03-14
ASSOCIAT us,200772670,1930827697,26007.26,2020-05-12,2020-04-16
DELHAIZE foundation,100031704,1930870420,96194.49,2020-05-23,2020-05-24
WAL-MAR corp,200769623,1930583747,41314.99,2020-03-15,2020-03-16
SUPE foundation,200936373,1930584425,18064.67,2020-05-06,2020-05-07
WAL-MAR llc,200769623,1930828630,29854.47,2020-05-11,2020-05-12
KENNETH corp,200729828,1930654976,93707.8,2020-04-01,2020-04-02
WAL-MAR corp,200769623,1930703915,53276.63,2020-04-10,2020-04-11
BJ'S,200726979,1930732991,126.96,2020-04-17,2020-04-18
WAL-MAR us,200769623,1930879526,21863.55,2020-05-22,2020-05-23
WAL-MAR,200769623,1930629296,661.11,2020-03-25,2020-03-26
COST trust,200794332,1930659915,3190.21,2020-04-02,2020-04-03
DOLLAR trust,100001196,1930661324,6914.69,2020-04-01,2020-04-02
STATER  co,200743996,1930763484,384.42,2020-04-24,2020-04-25
FEDER foundation,140104240,2960627754,150042.59,2020-04-29,2020-05-01
MEIJ systems,200780383,1930868330,101229.52,2020-05-21,2020-05-22
WINC llc,200706844,1930772585,57973.2,2020-04-25,2020-04-26
DOT in,200705742,1930860361,2642.79,2020-05-20,2020-05-21
WAL-MAR,200769623,1930581403,5196.1,2020-03-15,2020-03-16
BEN E foundation,200980828,1930725757,29819.83,2020-04-17,2020-04-18
RESTA systems,200974851,1930607548,754.44,2020-03-25,2020-03-26
WAL-MAR systems,200769623,1930593546,37100.07,2020-03-17,2020-03-18
WAL-MAR,200769623,1930620037,14930.97,2020-03-25,2020-03-26
DEC associates,200416837,1930858322,18092.28,2020-05-11,2020-06-08
TARG foundation,200744019,1930714376,45362.59,2020-04-12,2020-04-13
ASSOCIA us,200735528,1930586574,15140.31,2020-05-08,2020-05-09
DELHAIZE foundation,100031704,1930778459,62218.97,2020-04-28,2020-04-29
WAL-MAR trust,200769623,1930780988,9921.31,2020-04-29,2020-04-30
SO trust,140104440,2960623584,1547.09,2020-04-07,2020-04-09
COAS co,200337148,1930803570,56532.1,2020-05-05,2020-05-06
DEC in,200803720,1930689942,2380.66,2020-04-08,2020-05-06
E D S corporation,100008347,2960627336,13535.12,2020-05-08,2020-05-10
WEGMAN,200711029,1930851180,39032.48,2020-05-17,2020-05-18
KROG foundation,200133150,1930679365,34756.5,2020-04-04,2020-04-05
CHIHAD corporation,140101772,1991842206,1967.4,2020-05-11,2020-05-13
WAL-MAR in,200769623,1930593459,15139.36,2020-03-19,2020-03-20
JRD co,200781803,1930594976,42905.8,2020-03-19,2020-03-20
U R M  us,200773364,1930783015,10408.68,2020-04-30,2020-05-01
BJ'S  us,200726979,1930575234,908.25,2020-03-13,2020-03-14
PERFOR systems,200172815,1930584249,38940.15,2020-03-17,2020-03-18
WAL-MAR us,200769623,1930708663,661.11,2020-04-12,2020-04-13
PUBLI co,200707822,1930606216,106745.81,2020-03-19,2020-03-20
COST systems,200794332,1930598443,3349.09,2020-03-20,2020-03-21
WAL-MAR trust,200769623,1930623908,671.77,2020-03-23,2020-03-24
WAL-MAR llc,200769623,1930700269,29581.97,2020-04-16,2020-04-17
TIMES llc,200458131,1930676777,6127.46,2020-04-11,2020-04-12
C&S WH co,200762301,1930779586,7663.79,2020-04-29,2020-04-30
POST  foundation,200439158,1930786296,33942,2020-04-28,2020-04-29
MC A llc,200078854,1930724574,23197.14,2020-04-15,2020-04-16
METRO  corporation,140104423,2960631197,61972.15,2020-05-14,2020-05-16
C&S WH systems,200762301,1930856226,22234.2,2020-05-20,2020-05-21
WAL-MAR associates,200769623,1930884165,4067.57,2020-05-26,2020-05-27
WAL-MAR llc,200769623,1930586912,36957.52,2020-03-19,2020-03-20
SYSCO F us,200718130,1930598646,1805.18,2020-03-18,2020-03-19
KRAFT,CCCA02,1930601589,15642.72,2020-04-10,2020-04-11
KRAFT  corporation,CCCA02,1930703801,15275.52,2020-05-01,2020-05-02
RESTA co,200974851,1930643400,2222.15,2020-03-26,2020-03-27
LOB us,140104409,2960623860,84558.98,2020-04-05,2020-04-07
WAL-MAR trust,200769623,1930854942,5908.36,2020-05-19,2020-05-20
DELHAIZE systems,100031704,1930585843,112389.85,2020-03-16,2020-03-17
COST corp,200794332,1930697845,14204.38,2020-04-11,2020-04-12
WAL-MAR trust,200769623,1930888633,15680.88,2020-05-27,2020-05-28
C corporation,200778870,1930772310,75714.96,2020-04-25,2020-04-26
BJ'S,200726979,1930621612,292.49,2020-03-23,2020-03-24
H E BUT corp,200761734,1930682830,111856.79,2020-04-08,2020-04-09
WAL-MAR corporation,200769623,1930683645,58904.97,2020-04-07,2020-04-08
KRAFT  foundation,CCCA02,1930637964,19779.5,2020-04-17,2020-04-18
WAL-MAR in,200769623,1930628714,2298.79,2020-03-25,2020-03-26
WAL-MAR trust,200769623,1930613511,40868.89,2020-03-22,2020-03-23
BROOKS co,200743129,1930666181,42158.13,2020-04-02,2020-04-03
KROGER us,200743123,1930727455,85936.6,2020-04-17,2020-04-18
WAL-MAR llc,200769623,1930800056,53881.81,2020-05-04,2020-05-05
FAMILY,200786288,1930876960,13911.02,2020-05-23,2020-05-24
COSTCO llc,140104429,2960621501,44433.78,2020-04-02,2020-04-04
BI MA foundation,200784454,1930801084,11075.2,2020-05-05,2020-05-06
JETR corporation,200705089,1930658145,6138.84,2020-03-31,2020-04-01
H E BUT corp,200761734,1930808261,56964.91,2020-05-06,2020-05-07
PUBLI trust,200707822,1930749467,104365.79,2020-04-20,2020-04-21
MCL,200799367,1930787929,62728.23,2020-04-30,2020-05-01
MARTI llc,200726025,1930829911,59175.34,2020-05-12,2020-05-13
WAL-MAR co,200769623,1930833226,704.55,2020-05-14,2020-05-15
WAL-MAR systems,200769623,1930853795,943.12,2020-05-18,2020-05-19
AM systems,200418007,1930583097,1727.56,2020-03-19,2020-03-20
WAL-MAR llc,200769623,1930647246,42742.23,2020-03-29,2020-03-30
WAL-MAR us,200769623,1930724377,30.64,2020-04-16,2020-04-17
BJ'S  foundation,200726979,1930725149,317.3,2020-04-16,2020-04-17
WAL-MAR systems,200769623,1930683005,222.74,2020-04-05,2020-04-06
GROC associates,200915438,1930730875,11036.6,2020-04-19,2020-04-20
WAL-MAR corp,200769623,1930829346,189.82,2020-05-11,2020-05-12
REINHA trust,200756072,1930781912,25788,2020-04-29,2020-04-30
DOT,200705742,1930604969,76290.72,2020-03-25,2020-03-26
PUBLI foundation,200707822,1930760577,58677.6,2020-04-22,2020-04-23
MEIJ associates,200780383,1930616856,652.35,2020-03-21,2020-03-22
LOB corporation,140104409,2960619533,63510.37,2020-03-26,2020-03-28
WAL-MAR systems,200769623,1930617485,396.68,2020-03-22,2020-03-23
KRAFT  in,CCCA02,1930669354,57295.7,2020-04-30,2020-05-01
WAL-MAR corporation,200769623,1930584877,1898.2,2020-03-16,2020-03-17
SUPE co,200936373,1930664174,96837.43,2020-04-01,2020-04-02
RESTA foundation,200974851,1930608476,984.16,2020-03-25,2020-03-26
PERFOR corporation,200783189,1930627125,46365.02,2020-04-12,2020-04-13
PUBLI co,200707822,1930718119,19765.01,2020-04-13,2020-04-14
SMITH'S systems,200466603,1930783431,15720.41,2020-04-30,2020-05-01
METRO  llc,140104423,2960620254,43102.78,2020-03-21,2020-03-23
SA,200729942,1930648134,37957.23,2020-05-17,2020-05-18
WAL-MAR trust,200769623,1930724793,44328.18,2020-04-15,2020-04-16
SCHNU co,200747369,1930593185,5555.13,2020-03-17,2020-03-18
MDV/ us,200792734,1930822838,23952.41,2020-05-09,2020-05-10
TARG trust,200744019,1930732894,6180.06,2020-04-17,2020-04-18
WAL-MAR corporation,200769623,1930704641,23435.41,2020-04-11,2020-04-12
BJ'S  systems,200726979,1930630408,206.73,2020-03-26,2020-03-27
WAL-MAR llc,200769623,1930738580,4134.03,2020-04-18,2020-04-19
C&S WH associates,200762301,1930665574,17198.6,2020-04-02,2020-04-03
WAL-MAR co,200769623,1930774271,46270.54,2020-04-26,2020-04-27
KRAFT F co,CCU013,1930570713,4701.71,2020-03-01,2020-02-28
GROC llc,200915438,1930793591,16126,2020-05-08,2020-05-09
SMITH'S trust,200466603,1930772600,34034.17,2020-04-26,2020-04-27
DELHAIZE us,100031704,1930678586,97151.29,2020-04-04,2020-04-05
WAL-MAR corporation,200769623,1930793036,5249.48,2020-05-01,2020-05-02
WAL-MAR foundation,200769623,1930884932,4338.74,2020-05-26,2020-05-27
WAL-MAR co,200769623,1930716315,31348.19,2020-04-13,2020-04-14
COAS llc,200337148,1930778820,54494.47,2020-04-26,2020-04-27
WAL-MAR llc,200769623,1930603004,14277.49,2020-03-20,2020-03-21
DOLLA in,200148860,1930609846,8091.47,2020-03-19,2020-03-20
REINHA in,200756072,1930776853,25160.4,2020-04-29,2020-04-30
WAL-MAR corp,200769623,1930885508,41457.82,2020-05-27,2020-05-28
C&S WH systems,200762301,1930762760,69362.83,2020-04-22,2020-04-23
WAL-MAR associates,200769623,1930675777,21159.77,2020-04-05,2020-04-06
SAFEW corporation,200772595,1930800287,25221.34,2020-05-05,2020-05-06
GROC,200915438,1930875333,14220.04,2020-05-23,2020-05-24
PUBLI us,200707822,1930684004,82659.19,2020-04-05,2020-04-06
PUBLI co,200707822,1930855576,42577.61,2020-05-19,2020-05-20
SA co,200759878,1930700691,24897.6,2020-04-10,2020-04-11
ASSOCIAT foundation,200772670,1930585510,50318.03,2020-03-16,2020-02-19
WAL-MAR associates,200769623,1930617500,19879.64,2020-03-22,2020-03-23
WAL-MAR trust,200769623,1930654509,70732.44,2020-03-30,2020-03-31
SYSCO FO associates,200780825,1930586514,6691.03,2020-03-17,2020-03-18
DELHAIZE corp,100031704,1930748732,82364.46,2020-04-19,2020-04-20
KING S associates,200707005,1930706364,40742.66,2020-04-13,2020-04-14
COSTCO foundation,140104429,2960618903,10952.5,2020-03-16,2020-03-18
WAL-MAR in,200769623,1930671343,43679.04,2020-04-05,2020-04-06
M,200793830,1930831650,112036.98,2020-05-13,2020-05-14
BARGAIN,200290370,1930684491,15901,2020-04-09,2020-04-10
WAL-MAR in,200769623,1930653718,37998.08,2020-03-30,2020-03-31
KRAFT F corporation,CCU013,1930582705,2384.43,2020-03-03,2020-03-01
SMITH'S co,200820380,1930678875,63454.6,2020-04-06,2020-04-07
DOT,200705742,1930803524,1523.03,2020-05-24,2020-05-25
HEINZ trust,CC6000,1991839778,488.87,2020-04-23,2020-05-03
WAL-MAR llc,200769623,1930799327,54195.53,2020-05-05,2020-05-06
DEC corporation,200020431,1930817784,5821.36,2020-04-26,2020-05-24
JRD systems,200781803,1930691359,14875.81,2020-04-09,2020-04-10
ALBERT trust,200881076,1930585597,70880.34,2020-03-17,2020-03-18
SO corp,140104440,2960629673,147675.24,2020-05-04,2020-05-06
WAL-MAR corp,200769623,1930809471,471.56,2020-05-06,2020-05-07
FLANAG associates,140104392,2960632989,8004.39,2020-05-18,2020-05-20
WAL-MAR corporation,200769623,1930575256,49417.34,2020-03-14,2020-03-15
SHAM us,200457993,1930605473,15372.53,2020-03-25,2020-03-26
TARG systems,200744019,1930760799,510.15,2020-04-24,2020-04-25
DOT systems,200705742,1930637536,516.68,2020-04-14,2020-04-15
WAL-MAR llc,200769623,1930682039,13429.24,2020-04-08,2020-04-09
HARB associates,200678532,1930729714,23528.13,2020-04-15,2020-04-16
LOB corporation,140104409,2960624120,70026.89,2020-04-13,2020-04-15
WAL-MAR co,200769623,1930710529,20243.85,2020-04-11,2020-04-12
SMART &  corp,200707741,1930673703,17785.08,2020-04-03,2020-04-04
WAL-MAR co,200769623,1930764216,8130.68,2020-04-23,2020-04-24
PUBLI systems,200707822,1930660184,144412.27,2020-04-03,2020-04-04
MEIJ in,200780383,1930837893,21128.92,2020-05-14,2020-05-15
WAL-MAR us,200769623,1930629782,12806.78,2020-03-24,2020-03-25
DEC in,200416837,1930675454,482.12,2020-04-08,2020-05-06
SA foundation,200759878,1930776893,12927.09,2020-04-29,2020-04-30
SAFEW llc,200772595,1930818575,88751.28,2020-05-08,2020-05-09
SO in,140104440,2960621438,197404.44,2020-03-30,2020-04-01
WAL-MAR us,200769623,1930877791,38048.83,2020-05-23,2020-05-24
SAFEW corporation,200772595,1930705458,50171.27,2020-04-11,2020-04-12
SYSCO F,200718130,1930719666,297.93,2020-04-14,2020-04-15
AM in,200418007,1930856122,1663.32,2020-05-22,2020-05-23
DOLLAR in,100001196,1930857112,22221.11,2020-05-21,2020-05-22
BEN  co,200725421,1930615580,25718.28,2020-03-24,2020-03-25
TARG foundation,200744019,1930862913,7664.54,2020-05-22,2020-05-23
MARC trust,200768357,1930686676,7941.44,2020-04-07,2020-04-08
C&S WH in,200762301,1930856715,4718.45,2020-05-21,2020-05-22
C&S WH corp,200762301,1930701053,27930.22,2020-04-11,2020-04-12
WAKE systems,200704858,1930826720,19111.37,2020-05-12,2020-05-13
MASON trust,200743618,1930669641,23515,2020-04-02,2020-04-03
WAL-MAR llc,200769623,1930629562,281.73,2020-03-25,2020-03-26
DEC foundation,200803720,1930689887,1049.19,2020-04-08,2020-05-06
WAL-MAR foundation,200769623,1930661283,9862.92,2020-04-02,2020-04-03
DOLLA co,200148860,1930788014,6138.28,2020-06-19,2020-06-20
WAL-MAR associates,200769623,1930728064,16012.92,2020-04-18,2020-04-19
WAL-MAR us,200769623,1930747038,15025.96,2020-04-19,2020-04-20
WAL-MAR systems,200769623,1930751108,33101.38,2020-04-20,2020-04-21
MCL co,200799367,1930779484,50924.93,2020-05-01,2020-05-02
SAFEW foundation,200772595,1930653284,25487.12,2020-04-01,2020-04-02
WAL-MAR associates,200769623,1930782052,13935.79,2020-04-30,2020-05-01
KROGE corp,200776463,1930724201,117342.75,2020-04-15,2020-04-16
WAL-MAR systems,200769623,1930653795,7519.27,2020-03-31,2020-04-01
M llc,200793830,1930773358,124596.41,2020-04-25,2020-04-26
WINC foundation,200706844,1930731822,12557.18,2020-04-16,2020-04-17
DECA us,200353024,1930690645,5026.4,2020-03-26,2020-04-23
C&S WH corporation,200762301,1930666432,5480.14,2020-04-03,2020-04-04
WAL-MAR corp,200769623,1930738966,60146.92,2020-04-18,2020-04-19
GE associates,200784489,1930842766,42626.18,2020-05-15,2020-05-16
BJ'S  llc,200726979,1930593011,273.52,2020-03-17,2020-03-18
INGL trust,200759082,1930834218,56477.01,2020-05-13,2020-05-14
DOLLA llc,200148860,1930629316,3988.85,2020-05-14,2020-05-15
RA corporation,200704045,1930593068,3676.4,2020-03-18,2020-03-19
MCLANE associates,200126819,1930710637,19648.08,2020-04-11,2020-04-12
WAL-MAR,200769623,1930576429,39310.7,2020-03-15,2020-03-16
WAL-MAR llc,200769623,1930852438,661.11,2020-05-18,2020-05-19
ROU co,200790107,1930744087,114299.01,2020-04-18,2020-04-19
RALEY in,200774000,1930863071,69075.34,2020-05-21,2020-05-22
QUI co,200742791,1930732394,6131.19,2020-04-22,2020-04-23
GORDO foundation,200782001,1930672961,25086.53,2020-04-09,2020-04-10
WAL-MAR trust,200769623,1930799862,418.77,2020-05-04,2020-05-05
WAL-MAR us,200769623,1930677114,44358.95,2020-04-05,2020-04-06
FOODL us,200508557,1930661263,2737.67,2020-04-10,2020-04-11
GROC associates,200915438,1930763442,7512,2020-04-29,2020-04-30
SAVE-ON-,140104225,2960620076,47237.1,2020-03-27,2020-03-29
KRAFT  in,CCCA02,1930689855,15119.26,2020-04-29,2020-04-30
COST trust,200794332,1930687839,89154.47,2020-04-08,2020-04-09
MCL foundation,200799367,1930705506,1836.92,2020-04-11,2020-04-12
DECA trust,200592182,1930794439,2924.78,2020-04-24,2020-05-22
AM corporation,200418007,1930785331,2476.08,2020-06-15,2020-06-16
SUPE trust,200793568,1930787855,59837.22,2020-04-30,2020-05-01
BJ'S  llc,200726979,1930685184,198.43,2020-04-06,2020-04-07
BJ'S  corporation,200726979,1930577744,451.02,2020-03-14,2020-03-15
PUBLI trust,200707822,1930803915,57456.57,2020-05-05,2020-05-06
AL corp,200739006,1930602834,21300,2020-03-21,2020-03-22
COST foundation,200794332,1930788177,40455.53,2020-05-02,2020-05-03
WAL-MAR in,200769623,1930592606,3228.13,2020-03-17,2020-03-18
DEMOU associates,200793088,1930721284,53514.76,2020-04-17,2020-04-18
PIGGLY,200793122,1930732399,131215.55,2020-04-17,2020-04-18
WAL-MAR llc,200769623,1930774405,59935.1,2020-04-27,2020-04-28
SUPE us,200793568,1930789590,35963.97,2020-04-30,2020-05-01
COLDST trust,100031628,2960617104,80171.77,2020-03-16,2020-03-18
WAL-MAR corporation,200769623,1930700061,28547.5,2020-04-10,2020-04-11
KRAFT  systems,CCCA02,1930673779,14151.51,2020-04-23,2020-04-24
COST us,200794332,1930753479,8034.94,2020-04-21,2020-04-22
WAL-MAR associates,200769623,1930830781,39151.91,2020-05-15,2020-05-16
C&S WH foundation,200762301,1930629430,38768.5,2020-05-13,2020-05-14
SUPE trust,200936373,1930854186,9581.76,2020-05-21,2020-05-22
GORDO trust,200782001,1930687639,24389.26,2020-05-01,2020-05-02
WAL-MAR trust,200769623,1930826615,15926.59,2020-05-11,2020-05-12
SA corp,200759878,1930673281,49826.75,2020-04-04,2020-04-05
U R M  in,200773364,1930753661,49126.44,2020-04-23,2020-04-24
KROGER trust,200752302,1930693215,3838.04,2020-04-08,2020-04-09
INTERR corp,200580232,1930713211,25961.25,2020-04-06,2020-04-07
DELHAIZE corp,100031704,1930772648,45830.07,2020-04-27,2020-04-28
WAL-MAR systems,200769623,1930851527,11381.42,2020-05-18,2020-05-19
C&S WH,200762301,1930768361,41587.6,2020-04-24,2020-04-25
WAL-MAR us,200769623,1930712230,34942.43,2020-04-13,2020-04-14
KROGER in,200729290,1930712098,41840.21,2020-04-12,2020-04-13
WAL-MAR trust,200769623,1930711255,22933.46,2020-04-11,2020-04-12
WAL-MAR corporation,200769623,1930786373,5482.71,2020-05-01,2020-05-02
SA foundation,200759878,1930623880,24742.93,2020-03-24,2020-03-25
WAL-MAR,200769623,1930621472,57.71,2020-03-23,2020-03-24
KROGER us,200748108,1930837696,38430.49,2020-05-15,2020-05-16
COSTCO systems,140104429,2960623674,46630.08,2020-04-16,2020-04-18
SA co,200759878,1930765595,3121.51,2020-04-23,2020-04-24
SYSCO F corporation,200718130,1930594726,16638.29,2020-03-18,2020-03-19
ASSOC G llc,200782772,1930725026,31604.77,2020-04-15,2020-04-16
AM corp,200418007,1930577401,2300.04,2020-05-08,2020-05-09
SUPE in,200936373,1930714216,1548.24,2020-04-14,2020-04-15
KROGER us,200729290,1930681764,65450,2020-04-05,2020-04-06
C&S WH in,200762301,1930622124,22501.3,2020-03-24,2020-03-25
C&S WH in,200762301,1930739888,90302.32,2020-04-19,2020-04-20
C&S WH associates,200762301,1930725526,55613.4,2020-04-16,2020-04-17
DOT associates,200705742,1930717674,1054.72,2020-05-02,2020-05-03
CUSTOM trust,200847305,1930639647,60531.3,2020-03-23,2020-03-24
DOLLA corp,200148860,1930684345,18616.01,2020-04-07,2020-04-08
RA associates,200704045,1930593070,10524.02,2020-03-17,2020-03-18
DOT associates,200705742,1930841971,143.15,2020-06-03,2020-06-04
WAL-MAR trust,200769623,1930772304,61.29,2020-04-25,2020-04-26
KROGER trust,200748108,1930623787,44179.87,2020-03-25,2020-03-26
COST us,200794332,1930594262,20763.21,2020-03-21,2020-03-22
DECA trust,200353024,1930606180,4765.72,2020-03-24,2020-04-21
DOT,200705742,1930725707,1668.68,2020-04-15,2020-04-16
INGL us,200759082,1930800883,45160.02,2020-05-04,2020-05-05
TARG llc,200744019,1930651723,18507.09,2020-03-30,2020-03-31
COST foundation,200794332,1930749089,35398.58,2020-04-22,2020-04-23
WAL-MAR systems,200769623,1930724363,213.34,2020-04-16,2020-04-17
SO corp,140104440,2960623961,120252.5,2020-04-13,2020-04-15
SYSCO  trust,200792283,1930579955,1007.05,2020-03-14,2020-03-15
JETR us,200705089,1930665038,89.11,2020-04-01,2020-04-02
WAL-MAR,200769623,1930655721,27192.29,2020-03-31,2020-04-01
DECA systems,200353024,1930761273,10472.22,2020-04-24,2020-05-22
SA co,200759878,1930855509,56564.46,2020-05-19,2020-05-20
SA in,200759878,1930801331,20253.15,2020-05-05,2020-05-06
WAL-MAR systems,200769623,1930597396,30667.07,2020-03-21,2020-03-22
SPLASH foundation,100058011,1930794953,3237.92,2020-05-18,2020-05-19
WAL-MAR corp,200769623,1930623759,7466.9,2020-03-25,2020-03-26
WAL-MAR llc,200769623,1930781743,15168.18,2020-04-29,2020-04-30
KE in,200955827,1930570311,33654.32,2020-03-13,2020-03-14
DECA systems,200230690,1930674503,1574.86,2020-04-08,2020-05-06
TARG corporation,200744019,1930630579,17544.78,2020-03-27,2020-03-28
BLOU llc,200727278,1930660691,88533,2020-04-04,2020-04-05
LOB systems,140104409,2960625829,96486.5,2020-04-20,2020-04-22
CE co,200778998,1930739505,60050.53,2020-04-18,2020-04-19
